الدنيا الدنيى
تربطنا تربطنى
تشهرنا تشهرنى
تضربنا تضربنى
تصدمنا تصدمنى
ترشقنا ترشقنى
تحرقنا تحرقنى
تفلقنا تفلقنى
فرهدنا فرهدنى
سيطرنا سيطرنى
نوقزنا نوقزنى
فرعسنا فرعسنى
كركرنا كركرنى
ترجمنا ترجمنى
ريقلنا ريقلنى
كنجلنا كنجلنى
قنبلنا قنبلنى
دوبلنا دوبلنى
وشوشنا وشوشنى
سركلنا سركلنى
نعوشنا نعوشنى
تقوينا تقوينى
تعدينا تعدينى
تمنينا تمنينى
ترقينا ترقينى
تخبينا تخبينى
تربينا تربينى
تحدينا تحدينى
تخضينا تخضينى
تبلينا تبلينى
توقعنا توقعنى
تعلمنا تعلمنى
تسلفنا تسلفنى
تثقفنا تثقفنى
تنكرنا تنكرنى
تخرجنا تخرجنى
تصدرنا تصدرنى
ترشحنا ترشحنى
تفقدنا تفقدنى
تقبحنا تقبحنى
تغربنا تغربنى
تدربنا تدربنى
تورطنا تورطنى
توجعنا توجعنى
تصورنا تصورنى
تفخرنا تفخرنى
تمتعنا تمتعنى
تفوقنا تفوقنى
تسكعنا تسكعنى
تسلطنا تسلطنى
تصنعنا تصنعنى
تسترنا تسترنى
توترنا توترنى
تحررنا تحررنى
تفرجنا تفرجنى
تعلقنا تعلقنى
تمسخنا تمسخنى
تسرعنا تسرعنى
تصرفنا تصرفنى
تدخلنا تدخلنى
تطعمنا تطعمنى
تبرعنا تبرعنى
تطردنا تطردنى
تحيرنا تحيرنى
تذكرنا تذكرنى
توهمنا توهمنى
تكبرنا تكبرنى
تعرضنا تعرضنى
تزيننا تزيننى
تسببنا تسببنى
تبسمنا تبسمنى
تعمدنا تعمدنى
تلفتنا تلفتنى
تلمدنا تلمدنى
تحكمنا تحكمنى
ترددنا ترددنى
تحملنا تحملنى
تحسننا تحسننى
تكلفنا تكلفنى
تخيلنا تخيلنى
تسللنا تسللنى
تشمتنا تشمتنى
تغششنا تغششنى
تميزنا تميزنى
تنفسنا تنفسنى
تحركنا تحركنى
تخبشنا تخبشنى
تبدلنا تبدلنى
تحدثنا تحدثنى
تقدمنا تقدمنى
تجمدنا تجمدنى
تكفلنا تكفلنى
تحيلنا تحيلنى
تملكنا تملكنى
تحولنا تحولنى
ترد-بالها ترد-بالهى
ردينا-بالنا ردينا-بالنى
ردت-بالها ردت-بالهى
تسابقنا تسابقنى
تفاجئنا تفاجئنى
تشابهنا تشابهنى
تلاقينا تلاقينى
تفادينا تفادينى
تعارضنا تعارضنى
تعاركنا تعاركنى
تقاتلنا تقاتلنى
تعاطفنا تعاطفنى
تناقشنا تناقشنى
تضاربنا تضاربنى
تهاوننا تهاوننى
تخالفنا تخالفنى
تنازلنا تنازلنى
تعاملنا تعاملنى
تناقضنا تناقضنى
تعاوننا تعاوننى
تفاهمنا تفاهمنى
تخابطنا تخابطنى
تعايشنا تعايشنى
تعاودنا تعاودنى
ارتحنا ارتحنى
اخترنا اخترنى
احترمنا احترمنى
اقترحنا اقترحنى
اعتبرنا اعتبرنى
اقتنعنا اقتنعنى
التزمنا التزمنى
اخترعنا اخترعنى
اضترينا اضترينى
احتلينا احتلينى
اكتشفنا اكتشفنى
احتفلنا احتفلنى
انتخبنا انتخبنى
اعتصمنا اعتصمنى
استغلينا استغلينى
استقرينا استقرينى
استحقينا استحقينى
استغربنا استغربنى
استرجعنا استرجعنى
استحفظنا استحفظنى
استفسرنا استفسرنى
استكرهنا استكرهنى
استسهلنا استسهلنى
استوحينا استوحينى
استولينا استولينى
استدعينا استدعينى
استنينا استنينى
استفدنا استفدنى
استبنينا استبنينى
استعجلنا استعجلنى
استعملنا استعملنى
استنتجنا استنتجنى
استسلمنا استسلمنى
استشهدنا استشهدنى
استوعبنا استوعبنى
استبعدنا استبعدنى
استثمرنا استثمرنى
استغفرنا استغفرنى
استقبلنا استقبلنى
كلا كلى
عليا عليى
شتا شتى
مهما مهمى
