نغص نغس
حصدنا حسدنا
حصد حسد
تحصدت تحسدت
نوصف نوسف
توصف توسف
يوصف يوسف
يتوصف يتوسف
تتوصف تتوسف
وصفت وسفت
وصفنا وسفنا
وصف وسف
توصفت توسفت
ينقص ينقس
تنقص تنقس
نقصت نقست
نوصل نوسل
توصل توسل
يوصل يوسل
وصلت وسلت
وصلنا وسلنا
وصل وسل
نصعب نسعب
تصعب تسعب
يصعب يسعب
صعبت سعبت
صعبنا سعبنا
صعب سعب
ننقص ننقس
نقصنا نقسنا
نخلص نخلس
تخلص تخلس
يخلص يخلس
خلصت خلست
خلصنا خلسنا
خلص خلس
نصفق نسفق
تصفق تسفق
يصفق يسفق
صفقت سفقت
صفقنا سفقنا
صفق سفق
نصوت نسوت
تصوت تسوت
يصوت يسوت
صوتت سوتت
صوتنا سوتنا
صوت سوت
نصدق نسدق
تصدق تسدق
يصدق يسدق
صدقت سدقت
صدقنا سدقنا
صدق سدق
نقصر نقسر
تقصر تقسر
يقصر يقسر
قصرت قسرت
قصرنا قسرنا
قصر قسر
نصلح نسلح
تصلح تسلح
يصلح يسلح
صلحت سلحت
صلحنا سلحنا
صلح سلح
نصور نسور
تصور تسور
يصور يسور
صورت سورت
صورنا سورنا
صور سور
نخصص نخسس
تخصص تخسس
يخصص يخسس
خصصت خسست
خصصنا خسسنا
خصص خسس
نلخص نلخس
تلخص تلخس
يلخص يلخس
لخصت لخست
لخصنا لخسنا
لخص لخس
نفصل نفسل
تفصل تفسل
يفصل يفسل
فصلت فسلت
فصلنا فسلنا
فصل فسل
نشخص نشخس
تشخص تشخس
يشخص يشخس
شخصت شخست
شخصنا شخسنا
شخص شخس
نصحح نسحح
تصحح تسحح
يصحح يسحح
صححت سححت
صححنا سححنا
صحح سحح
نرصع نرسع
ترصع ترسع
يرصع يرسع
رصعت رسعت
رصعنا رسعنا
رصع رسع
يصعاب يسعاب
تصعاب تسعاب
صعاب سعاب
صعابت سعابت
نصفي نسفي
نصفيو نسفيو
تصفي تسفي
تصفيو تسفيو
يصفي يسفي
يصفيو يسفيو
صفيت سفيت
صفينا سفينا
صفى سفى
صفات سفات
صفاو سفاو
صفيو سفيو
نوصي نوسي
نوصيو نوسيو
توصي توسي
توصيو توسيو
يوصي يوسي
يوصيو يوسيو
وصيت وسيت
وصينا وسينا
وصى وسى
وصات وسات
وصاو وساو
وصي وسي
وصيو وسيو
نصلي نسلي
نصليو نسليو
تصلي تسلي
تصليو تسليو
يصلي يسلي
يصليو يسليو
يتصلى يتسلى
تتصلى تتسلى
يتصلاو يتسلاو
صليت سليت
صلينا سلينا
صلى سلى
صلات سلات
صلاو سلاو
تصلى تسلى
تصلات تسلات
تصلاو تسلاو
صلي سلي
صليو سليو
نصنف نسنف
تصنف تسنف
يصنف يسنف
يتصنف يتسنف
تتصنف تتسنف
صنفت سنفت
صنفنا سنفنا
صنف سنف
تصنفت تسنفت
يصدد يسدد
تصدد تسدد
صدد سدد
صددت سددت
نصاحب نساحب
تصاحب تساحب
يصاحب يساحب
صاحبت ساحبت
صاحبنا ساحبنا
صاحب ساحب
نصارح نسارح
تصارح تسارح
يصارح يسارح
صارحت سارحت
صارحنا سارحنا
صارح سارح
يخص يخس
يصح يسح
تصح تسح
صح سح
صحت سحت
نتصدم نتسدم
تصدمنا تسدمنا
اتصدم اتسدم
نتصدر نتسدر
تتصدر تتسدر
يتصدر يتسدر
تصدرت تسدرت
تصدرنا تسدرنا
تصدر تسدر
اتصدر اتسدر
نتصور نتسور
تتصور تتسور
يتصور يتسور
تصورت تسورت
تصورنا تسورنا
اتصور اتسور
نتصنع نتسنع
تصنعنا تسنعنا
اتصنع اتسنع
نتصرف نتسرف
تصرفنا تسرفنا
اتصرف اتسرف
نعتصم نعتسم
تعتصم تعتسم
يعتصم يعتسم
اعتصمت اعتسمت
اعتصمنا اعتسمنا
اعتصم اعتسم
الصحة السحة
القصرين القسرين
الصغار السغار
الرصانة الرسانة
البصيرة البسيرة
الصيفة السيفة
الفرصة الفرسة
التصفيات التسفيات
الصفة السفة
المصلحة المسلحة
الصورة السورة
الصورات السورات
المصداقية المسداقية
الاقتصاد الاقتساد
الوصول الوسول
الشخصيات الشخسيات
التصريف التسريف
البلاصة البلاسة
المصادقة المسادقة
التصريحات التسريحات
التحصين التحسين
التصرف التسرف
الصناعة السناعة
الصناعات السناعات
الصفحة السفحة
الاقصاء الاقساء
الصفقات السفقات
الفصل الفسل
التفاصيل التفاسيل
العناصر العناسر
المواصلين المواسلين
الواصلين الواسلين
الاعتصامات الاعتسامات
المقصود المقسود
الإقصاء الإقساء
الاشخاص الاشخاس
الصراحة السراحة
المنصب المنسب
المصالحة المسالحة
الصحفية السحفية
التصوير التسوير
الأصوات الأسوات
الصواب السواب
التصدي التسدي
الصناعية السناعية
الصحفي السحفي
التشخيص التشخيس
الصفات السفات
الخاصة الخاسة
الفصاحة الفساحة
الشخص الشخس
الصولد السولد
المصالح المسالح
المعتصمين المعتسمين
الحصار الحسار
المصادرة المسادرة
العصابة العسابة
المصدر المسدر
الخصوص الخسوس
الصراعات السراعات
الصيف السيف
القصة القسة
القصر القسر
الصدد السدد
الصريح السريح
اللإتصال اللإتسال
الصفحات السفحات
المحاصصة المحاسسة
النصف النسف
الصفرا السفرا
التصفية التسفية
الشخصي الشخسي
الصادق السادق
الصفاقسي السفاقسي
الشخصية الشخسية
الصحيح السحيح
الاقصى الاقسى
الأصل الأسل
الصباح السباح
الصحفيين السحفيين
التصريح التسريح
