الصحه الصحة
ماشيه ماشية
صحيحه صحيحة
بحمه بحمة
حمه حمة
بينه بينة
بركه بركة
لمبادره لمبادرة
للمبادره للمبادرة
بالشويه بالشوية
ملائمه ملائمة
بصراحه بصراحة
بادره بادرة
نيه نية
رسميه رسمية
مسانده مساندة
للصناعه للصناعة
عوده عودة
امكانيه امكانية
لحكومه لحكومة
خمسمائه خمسمائة
الصلبه الصلبة
هاذومه هاذومة
بالنسبه بالنسبة
هالحكومه هالحكومة
دقيقه دقيقة
باهيه باهية
للحاله للحالة
ناحيه ناحية
غدوه غدوة
رئاسه رئاسة
الأمريكيه الأمريكية
محبوسه محبوسة
بالطريقه بالطريقة
علنيه علنية
الجماعيه الجماعية
بارشه بارشة
الخانقه الخانقة
مهمشه مهمشة
حمله حملة
سوسه سوسة
دوله دولة
عصريه عصرية
هالدوله هالدولة
حاله حالة
هالحمله هالحملة
ولايه ولاية
صراحه صراحة
سلميه سلمية
حساسيه حساسية
قاعده قاعدة
للفتره للفترة
الانتقاليه الانتقالية
ألعوبه ألعوبة
بقعه بقعة
محجره محجرة
ملحه ملحة
ضيقه ضيقة
الجزئيه الجزئية
نعمه نعمة
مره مرة
لجمله لجملة
داخله داخلة
تونسيه تونسية
العقليه العقلية
وزره وزرة
التشريعيه التشريعية
تأسيسيه تأسيسية
القضائيه القضائية
التنفيذيه التنفيذية
الديمقراطيه الديمقراطية
اربعه اربعة
خمسه خمسة
سبعه سبعة
ثمنيه ثمنية
تسعه تسعة
عشره عشرة
الضحكه الضحكة
الغمزه الغمزة
مساء مساة
غربيه غربية
ندوه ندوة
صحفيه صحفية
قضيه قضية
إعاده إعادة
للجريمه للجريمة
عسلامه عسلامة
بطبيعه بطبيعة
وزاره وزارة
أربعه أربعة
سنه سنة
بالمشاركه بالمشاركة
عمليه عملية
جاريه جارية
غالطه غالطة
مالندوه مالندوة
إنابه إنابة
فرقه فرقة
مقاومه مقاومة
بندوه بندوة
هاذيه هاذية
التاليه التالية
لعائله لعائلة
ثقه ثقة
بسريه بسرية
ساعه ساعة
ثانيه ثانية
دايره دايرة
بحاجه بحاجة
قانونيه قانونية
كهيئه كهيئة
الصحافه الصحافة
إفاده إفادة
كتابيه كتابية
سريه سرية
جلسه جلسة
لساعه لساعة
متأخره متأخرة
مغيبه مغيبة
نقطه نقطة
للبقيه للبقية
شكليه شكلية
ماذبيه ماذبية
مهنيه مهنية
لمده لمدة
معينه معينة
بالعمليه بالعملية
للمنطقه للمنطقة
بسياره بسيارة
سياره سيارة
هاذاكه هاذاكة
الخلويه الخلوية
خدمه خدمة
هواه هواة
شبهه شبهة
سهوله سهولة
منطقه منطقة
سرعه سرعة
داخليه داخلية
خارجيه خارجية
نشره نشرة
قناه قناة
ساميه سامية
وفاه وفاة
لجلطه لجلطة
دماغيه دماغية
ثالثه ثالثة
العشيه العشية
متحزبه متحزبة
بحكومه بحكومة
إئتلافيه إئتلافية
بالساده بالسادة
قائمه قائمة
معلومه معلومة
بلاصه بلاصة
بالليسته بالليستة
حمايه حماية
إشاره إشارة
دعوه دعوة
بالجمله بالجملة
مغلقه مغلقة
شبكه شبكة
برئاسه برئاسة
إستقاله إستقالة
مدونه مدونة
مكتوبه مكتوبة
كتله كتلة
مناقشه مناقشة
ممكنه ممكنة
محاصصه محاصصة
عركه عركة
لأمنيه لأمنية
معتمديه معتمدية
خطيره خطيرة
للفرقه للفرقة
بمنطقه بمنطقة
لصحه لصحة
بمحاوله بمحاولة
وبره وبرة
مالصحه مالصحة
فريده فريدة
حادثه حادثة
للفلاحه للفلاحة
بسكته بسكتة
قلبيه قلبية
ميه مية
أجنبيه أجنبية
الضاحيه الضاحية
الجنوبيه الجنوبية
العاصمه العاصمة
قايمه قايمة
بالتصفيه بالتصفية
وتيره وتيرة
مقوله مقولة
لمحاوله لمحاولة
مسيره مسيرة
شعبيه شعبية
الشرعيه الشرعية
الميه المية
كفاءه كفاءة
همزه همزة
ضروره ضرورة
محايده محايدة
بمبادره بمبادرة
فاجعه فاجعة
قنبله قنبلة
اعلاميه اعلامية
فاشله فاشلة
مقربه مقربة
بعمليه بعملية
بالجهه بالجهة
متواصله متواصلة
وقفه وقفة
رمزيه رمزية
بيئه بيئة
سليمه سليمة
وخيمه وخيمة
بطبلبه بطبلبة
محاوله محاولة
البغداديه البغدادية
المحاذيه المحاذية
لمدينه لمدينة
المهديه المهدية
مصادره مصادرة
امنيه امنية
التونسيه التونسية
حريه حرية
للعصابه للعصابة
الدستوريه الدستورية
لمحه لمحة
مطالبه مطالبة
للشرعيه للشرعية
بإراده بإرادة
العمريه العمرية
بضروره بضرورة
والعوده والعودة
لطاوله لطاولة
مالازمه مالازمة
ديمقراطيه ديمقراطية
موزعه موزعة
مؤسسه مؤسسة
غايه غاية
مخصصه مخصصة
الاقمشه الاقمشة
بالمئه بالمئة
بميه بمية
حلوه حلوة
جايه جاية
الماركه الماركة
برجوليه برجولية
تاعبه تاعبة
للسنه للسنة
كالعاده كالعادة
مالعاده مالعادة
العاديه العادية
هكايه هكاية
لحكايه لحكاية
هذيكه هذيكة
مشكله مشكلة
الاخيره الاخيرة
تجربه تجربة
الليبيه الليبية
ثوره ثورة
للثوره للثورة
بالطاغيه بالطاغية
رؤيه رؤية
متحده متحدة
قرابه قرابة
بمناسبه بمناسبة
لثوره لثورة
مالديكتاتوريه مالديكتاتورية
قبليه قبلية
بلبله بلبلة
زياده زيادة
طريقه طريقة
بطريقه بطريقة
فضيعه فضيعة
اخوه اخوة
لزياره لزيارة
جريمه جريمة
خساره خسارة
لزوجه لزوجة
لمناهضه لمناهضة
لحظه لحظة
مهمه مهمة
الفرنسيه الفرنسية
تاريخيه تاريخية
أرمله أرملة
إقاله إقالة
خلفيه خلفية
بمثابه بمثابة
معززه معززة
استقاله استقالة
للتشكيله للتشكيلة
الحكوميه الحكومية
استجابه استجابة
مده مدة
بعهده بعهدة
معروفه معروفة
بالمعارضه بالمعارضة
المتكونه المتكونة
الراهنه الراهنة
هشاشه هشاشة
المرحله المرحلة
كتابه كتابة
هذايه هذاية
المصلحيه المصلحية
رافضه رافضة
لدوله لدولة
مدنيه مدنية
سياده سيادة
مالتوانسه مالتوانسة
جنازه جنازة
الجنازه الجنازة
متعدده متعددة
البرشه البرشة
مطلبيه مطلبية
الصنايعيه الصنايعية
نخبه نخبة
هالمسيره هالمسيرة
حميده حميدة
هذكه هذكة
هزه هزة
للغه للغة
طائفه طائفة
باينه باينة
زعمه زعمة
مناسبه مناسبة
علاقه علاقة
بحادثه بحادثة
مضطربه مضطربة
مسلحه مسلحة
للدعوه للدعوة
لمقاومه لمقاومة
ليله ليلة
للمنظمه للمنظمة
منزله منزلة
الصلاه الصلاة
القيامه القيامة
شنيه شنية
السيره السيرة
هكه هكة
مخيفه مخيفة
الجاهليه الجاهلية
القيمه القيمة
حفره حفرة
المدينه المدينة
هكاكه هكاكة
الملائكه الملائكة
غزوه غزوة
سوره سورة
كامله كاملة
الاستخاره الاستخارة
الفاتحه الفاتحة
الركعه الركعة
للقبله للقبلة
الطفله الطفلة
هالبيعه هالبيعة
الشريه الشرية
رساله رسالة
الآخره الآخرة
تشريعيه تشريعية
والقضائيه والقضائية
هاويه هاوية
للساحه للساحة
الرياضيه الرياضية
اللازمه اللازمة
حره حرة
الساميه السامية
البعيده البعيدة
المركزه المركزة
الاستراتيجيه الاستراتيجية
قله قلة
كارثه كارثة
الانظمه الانظمة
خاربه خاربة
الجذريه الجذرية
صعبه صعبة
الاساتذه الاساتذة
واقفه واقفة
جامده جامدة
طالبه طالبة
بلديه بلدية
متخاصمه متخاصمة
متنافره متنافرة
انتقاليه انتقالية
مستقره مستقرة
شرعيه شرعية
مصيبه مصيبة
معقده معقدة
اصلاحيه اصلاحية
الضروريه الضرورية
نزيهه نزيهة
اعجوبه اعجوبة
بسيطه بسيطة
بِالنِسبه بِالنِسبة
اجره اجرة
ورقه ورقة
فوقانيه فوقانية
صفاقسيه صفاقسية
برانيه برانية
بِالنسبه بِالنسبة
لكافه لكافة
محاكمه محاكمة
القناصه القناصة
الجزيره الجزيرة
الفولانيه الفولانية
للقنطره للقنطرة
غاديكه غاديكة
محطه محطة
معبيه معبية
لهاكه لهاكة
القشاره القشارة
الشكاره الشكارة
عالسلامه عالسلامة
مستمعه مستمعة
وفيه وفية
الزبله الزبلة
الفرديه الفردية
الملاحضه الملاحضة
غفله غفلة
روعه روعة
ثقافه ثقافة
مواطنه مواطنة
الخضره الخضرة
الغله الغلة
الغذائيه الغذائية
النفسيه النفسية
الطبيه الطبية
التربيه التربية
الثلاثيه الثلاثية
اساتذه اساتذة
المقبله المقبلة
كريمه كريمة
كره كرة
جميله جميلة
الكره الكرة
مدينه مدينة
المحطه المحطة
نعيمه نعيمة
منيره منيرة
جده جدة
سبوره سبورة
تلميذه تلميذة
غرفه غرفة
قهوه قهوة
صديقه صديقة
صوره صورة
عايشه عايشة
فاطمه فاطمة
بنيه بنية
سيده سيدة
سياره سيارة
زينه زينة
مريضه مريضة
الغرفه الغرفة
بيضه بيضة
موسيقيه موسيقية
زينه زينة
طياره طيارة
نجاه نجاة
فرنسيه فرنسية
العشيه العشية
متعدده متعددة
متنوعه متنوعة
نفسيه نفسية
فكره فكرة
العزيمه العزيمة
زاده زادة
بركه بركة
جماعه جماعة
جلطه جلطة
مسدوده مسدودة
توه توة
الهاتفيه الهاتفية
نواره نوارة
مذابيه مذابية
الصدريه الصدرية
الجمعيه الجمعية
كليه كلية
عوينه  عوينهة
سكره سكرة
قرايه قراية
عزيمه عزيمة
الجايه الجاية
الحقيقه الحقيقة
سنه سنة
قاعده قاعدة
وصفه وصفة
القهوه القهوة
عامه عامة
الثنيه الثنية
بره برة
حاجه حاجة
الخلطه الخلطة
الزياده الزيادة
المديره المديرة
مديره مديرة
وجيعه وجيعة
الرابطه الرابطة
المناسبه المناسبة
الريحه الريحة
ريحه ريحة
الغاليه الغالية
العاليه العالية
مريره مريرة
الحياه الحياة
مضره مضرة
تحيه تحية
التحيه التحية
الدكاتره الدكاترة
الافه الافة
غدوه غدوة
برشه برشة
كميه كمية
الخدمه الخدمة
فتره فترة
الفتره الفترة
العزيزه العزيزة
جيده جيدة
الغلطه الغلطة
كلمه كلمة
الكلمه الكلمة
قبيليكه قبيليكة
استقلاليه استقلالية
ماديه مادية
بحته بحتة
عائليه عائلية
استعماريه استعمارية
الغابه الغابة
غفله غفلة
الكبده الكبدة
سهوله سهولة
تامه تامة
الوصفه الوصفة
السهوله السهولة
ميزانيه ميزانية
الميزانيه الميزانية
تجربه تجربة
مقتنعه مقتنعة
متقلقه متقلقة
معاناه معاناة
الهديه الهدية
هدايه هداية
مهوله مهولة
اهميه اهمية
ممسوسه ممسوسة
اكيده اكيدة
عاديه عادية
اشكاليه اشكالية
لولانيه لولانية
شيشه شيشة
ساهله ساهلة
بلاصه بلاصة
مردومه مردومة
نوويه نووية
مشعه مشعة
ماده مادة
سامه سامة
المحافظه المحافظة
مقرونه مقرونة
موجوده موجودة
صحيحه صحيحة
الزنزانه الزنزانة
الشيشه الشيشة
جلطه جلطة
غلطه غلطة
العباره العبارة
عباره عبارة
ساعه ساعة
ريه رية
السنه السنة
جمله جملة
حمله حملة
عمليه عملية
العمليه العملية
الاستهلاكيه الاستهلاكية
ماده مادة
منشطه منشطة
الشاهيه الشاهية
موضوعيه موضوعية
نفسانيه نفسانية
القبيله القبيلة
معلومه معلومة
خاصه خاصة
المعالجه المعالجة
نوعيه نوعية
عميقه عميقة
دقه دقة
الاراده الارادة
خايبه خايبة
الاستمراريه الاستمرارية
طويله طويلة
قصيره قصيرة
صدفه صدفة
بصفه بصفة
نهائيه نهائية
حقيقه حقيقة
محاوله محاولة
طيبه طيبة
العصبيه العصبية
سلوكيه سلوكية
هديه هدية
مخطره مخطرة
ضربه ضربة
الثقه الثقة
اللصقه اللصقة
الادويه الادوية
العجيبه العجيبة
غريبه غريبة
حربوشه حربوشة
معينه معينة
النتيجه النتيجة
الحسبه الحسبة
مضره مضرة
مساعده مساعدة
المساعده المساعدة
ايجابيه ايجابية
عريضه عريضة
الندوه الندوة
قايمه قايمة
الخاله الخالة
العمه العمة
الشرطه الشرطة
الفكره الفكرة
الرحله الرحلة
القصه القصة
الوسيله الوسيلة
وحده وحدة
المداخله المداخلة
مختلفه مختلفة
سياسه سياسة
واضحه واضحة
مفهومه مفهومة
للدوله للدولة
كامله كاملة
دقيقه دقيقة
الليله الليلة
النوعيه النوعية
مقابله مقابلة
رياضيه رياضية
قعده قعدة
علاقه علاقة
غاليه غالية
امكانيه امكانية
الرياضه الرياضة
التجربه التجربة
السحريه السحرية
الحاله الحالة
حاله حالة
ضعيفه ضعيفة
عويصه عويصة
المختصه المختصة
مكافحه مكافحة
التغذيه التغذية
الصحيه الصحية
الصحه الصحة
الضروره الضرورة
مستعصيه مستعصية
مختصه مختصة
بعيده بعيدة
قانونيه قانونية
الظاهره الظاهرة
الثوره الثورة
الثروه الثروة
عبوديه عبودية
التكلفه التكلفة
النسبه النسبة
مباشره مباشرة
حقيقيه حقيقية
منظومه منظومة
معاهده معاهدة
عالميه عالمية
المهوله المهولة
المضره المضرة
الخلاعه الخلاعة
لازمه لازمة
مستحقه مستحقة
مربوطه مربوطة
قليبيه قليبية
التبحبيحه التبحبيحة
قريبه قريبة
السرقه السرقة
اللغه اللغة
الاكثريه الاكثرية
شايحه شايحة
قاعده قاعدة
غله غلة
للوتله للوتلة
مساله مسالة
طريحه طريحة
المره المرة
نفقه نفقة
طفله طفلة
المحكمه المحكمة
جايبه جايبة
اشهره اشهرة
زواليه زوالية
عاقله عاقلة
باهيه باهية
الطفله الطفلة
العشره العشرة
حاضره حاضرة
قويه قوية
مديده مديدة
قضيه قضية
البنيه البنية
مشكله مشكلة
مشبوهه مشبوهة
بحذايه بحذاية
منزليه  منزلية
