﻿ngS ngs
Sfp sfp
mSlHp mslHp
Swrp swrp
SwrAt swrAt
mSdAqyp msdAqyp
AqtSAd AqtsAd
wSwl wswl
$xSyAt $xsyAt
tSryf tsryf
blASp blAsp
mSAdqp msAdqp
tSryHAt tsryHAt
tHSyn tHsyn
tSrf tsrf
SnAEp snAEp
SnAEAt snAEAt
SfHp sfHp
AqSA' AqsA'
SfqAt sfqAt
fSl fsl
tfASyl tfAsyl
EnASr EnAsr
mwASlyn mwAslyn
wASlyn wAslyn
AEtSAmAt AEtsAmAt
mqSwd mqswd
<qSA' <qsA'
A$xAS A$xAs
SrAHp srAHp
mnSb mnsb
mSAlHp msAlHp
SHfyp sHfyp
tSwyr tswyr
>SwAt >swAt
SwAb swAb
tSdy tsdy
SnAEyp snAEyp
SHfy sHfy
t$xyS t$xys
SfAt sfAt
xASp xAsp
fSAHp fsAHp
$xS $xs
Swld swld
mSAlH msAlH
mEtSmyn mEtsmyn
HSAr HsAr
mSAdrp msAdrp
ESAbp EsAbp
mSdr msdr
xSwS xsws
SrAEAt srAEAt
Syf syf
qSp qsp
qSr qsr
Sdd sdd
SryH sryH
l<tSAl l<tsAl
SfHAt sfHAt
mHASSp mHAssp
nSf nsf
SfrA sfrA
tSfyp tsfyp
$xSy $xsy
SAdq sAdq
SfAqsy sfAqsy
$xSyp $xsyp
SHyH sHyH
AqSY AqsY
>Sl >sl
SbAH sbAH
SHfyyn sHfyyn
