الصحا الصحة
النتيجا النتيجة
النشرا النشرة
القناا القناة
النسما النسمة
العايلا العايلة
الجريما الجريمة
السياسيا السياسية
الخسارا الخسارة
الكبيرا الكبيرة
الزيارا الزيارة
الزوجا الزوجة
اللحظا اللحظة
المهما المهمة
التاريخيا التاريخية
الأرملا الأرملة
الحاكما الحاكمة
الاستقالا الاستقالة
الصحفيا الصحفية
الخلفيا الخلفية
التقنيا التقنية
الاغلبيا الاغلبية
التسعا التسعة
الثقا الثقة
الكتلا الكتلة
الخمسا الخمسة
الحريا الحرية
الكراما الكرامة
السيادا السيادة
المعروفا المعروفة
الجديدا الجديدة
الهشاشا الهشاشة
القائما القائمة
الكتابا الكتابة
المشتركا المشتركة
المطالبا المطالبة
الحمايا الحماية
الثمنيا الثمنية
الصناعيا الصناعية
الطلبا الطلبة
التلامذا التلامذة
النخبا النخبة
المسيرا المسيرة
الحقوقيا الحقوقية
الأقليا الأقلية
البدايا البداية
الطائفا الطائفة
النهضا النهضة
المناسبا المناسبة
العلاقا العلاقة
الحادثا الحادثة
المضطربا المضطربة
المقاوما المقاومة
المسلحا المسلحة
المستعمرا المستعمرة
العماليا العمالية
المنظما المنظمة
الفيديراليا الفيديرالية
العالميا العالمية
الحرا الحرة
الخاصا الخاصة
الرؤيا الرؤية
الفصاحا الفصاحة
الوطنيا الوطنية
التحريريا التحريرية
التقدميا التقدمية
المنزلا المنزلة
المحاولا المحاولة
الشعبيا الشعبية
المستقلا المستقلة
الفاجعا الفاجعة
الفاشلا الفاشلة
المقربا المقربة
الدقيقا الدقيقة
العمليا العملية
الجها الجهة
القادما القادمة
المنطقا المنطقة
السليما السليمة
الوخيما الوخيمة
الزعالما الزعالمة
العشرا العشرة
الجلسا الجلسة
المصادرا المصادرة
المذكورا المذكورة
الجنسيا الجنسية
العصابا العصابة
المناهضا المناهضة
اللمحا اللمحة
الإيديولوجيا الإيديولوجية
الشتويا الشتوية
النقطا النقطة
الموزعا الموزعة
الستا الستة
المشاركا المشاركة
الاربعا الاربعة
الاحذيا الاحذية
الحركيا الحركية
الرجوليا الرجولية
السنا السنة
الامنيا الامنية
العادا العادة
الماكلا الماكلة
المبذولا المبذولة
التجربا التجربة
الرغبا الرغبة
الاطاحا الاطاحة
الديكتاتوريا الديكتاتورية
المتشدا المتشدة
البلبلا البلبلة
الاهليا الاهلية
الذاكرا الذاكرة
القصا القصة
الفضيعا الفضيعة
الوحيدا الوحيدة
الكيفيا الكيفية
الجلطا الجلطة
الدماغيا الدماغية
الثالثا الثالثة
الضيافا الضيافة
المتحزبا المتحزبة
السادا السادة
العريضا العريضة
السريا السرية
المعلوما المعلومة
الليستا الليستة
الأجهزا الأجهزة
الموازيا الموازية
الإشارا الإشارة
العبرا العبرة
العديدا العديدة
المعنيا المعنية
المغلقا المغلقة
العضوا العضوة
الشبكا الشبكة
الإستقالا الإستقالة
المدونا المدونة
المتماسكا المتماسكة
المعينا المعينة
المناقشا المناقشة
الشويا الشوية
المحاصصا المحاصصة
الإستجابا الإستجابة
العركا العركة
التهما التهمة
الموجها الموجهة
الضجا الضجة
القضيا القضية
التاسعا التاسعة
العدليا العدلية
الخطيرا الخطيرة
الفرقا الفرقة
الشرطا الشرطة
الوبرا الوبرة
الفريدا الفريدة
الفلاحا الفلاحة
الثانيا الثانية
الأجنبيا الأجنبية
التصفيا التصفية
الرسميا الرسمية
المقولا المقولة
الداخليا الداخلية
الإعادا الإعادة
الطبيعا الطبيعة
الوزارا الوزارة
الأربعا الأربعة
الأمنيا الأمنية
الهويا الهوية
الملاحقا الملاحقة
الجاريا الجارية
المأساا المأساة
الجماعا الجماعة
الثلاثا الثلاثة
الشخصيا الشخصية
الواضحا الواضحة
الإفادا الإفادة
الموجودا الموجودة
الهديا الهدية
الميدانيا الميدانية
الإنابا الإنابة
الجناا الجناة
العائلا العائلة
المؤسسا المؤسسة
الدايرا الدايرة
القانونيا القانونية
المباشرا المباشرة
الفايدا الفايدة
الكتابيا الكتابية
المتقدما المتقدمة
العلنيا العلنية
المتأخرا المتأخرة
المغيبا المغيبة
الشكليا الشكلية
المهنيا المهنية
السيارا السيارة
الهواا الهواة
الشبها الشبهة
السرعا السرعة
الخارجيا الخارجية
صحا صحة
تحيا تحية
نسما نسمة
زادا زادة
رحما رحمة
التوانسا التوانسة
خبزا خبزة
شنوا شنوة
حاجا حاجة
لوقفا لوقفة
خاصا خاصة
الحزبيا الحزبية
الضيقا الضيقة
بالرصانا بالرصانة
حركا حركة
لحركا لحركة
بصيفا بصيفة
فرصا فرصة
بأزما بأزمة
خارقا خارقة
مسبوقا مسبوقة
أزما أزمة
سياسيا سياسية
اجتماعيا اجتماعية
اقتصاديا اقتصادية
أمنيا أمنية
أخلاقيا أخلاقية
جسديا جسدية
متكررا متكررة
بصفا بصفة
مقنعا مقنعة
وحشيا وحشية
عاما عامة
المتضررا المتضررة
مصلحا مصلحة
هذيا هذية
بموضوعيا بموضوعية
بمسؤوليا بمسؤولية
الصعدا الصعدة
كبيرا كبيرة
ثما ثمة
شويا شوية
صورا صورة
جميلا جميلة
نهارا نهارة
وحدا وحدة
اليوما اليومة
للوضعيا للوضعية
الاقتصاديا الاقتصادية
توانسا توانسة
مصداقيا مصداقية
الاجتماعيا الاجتماعية
هالأزما هالأزمة
سياسا سياسة
جديدا جديدة
حكوما حكومة
طبقا طبقة
مقسما مقسمة
المشكلا المشكلة
عشيرا عشيرة
قبيلا قبيلة
الدارجا الدارجة
مختلفا مختلفة
موجودا موجودة
هذوما هذومة
منحصرا منحصرة
القاعدا القاعدة
مسألا مسألة
وطنيا وطنية
توا توة
الهوا الهوة
لغا لغة
مسؤولا مسؤولة
مسؤوليا مسؤولية
مزورا مزورة
متكونا متكونة
سلسلا سلسلة
جويليا جويلية
لتوا لتوة
هالنظريا هالنظرية
عزيما عزيمة
حقيقيا حقيقية
جديا جدية
سماويا سماوية
نتيجا نتيجة
خطا خطة
مشتركا مشتركة
بقيا بقية
وخطا وخطة
واضحا واضحة
صالحا صالحة
ثلاثا ثلاثة
المحاسسا المحاسسة
للحكوما للحكومة
مستقلا مستقلة
قوا قوة
كافا كافة
مستعدا مستعدة
منظما منظمة
أساسيا أساسية
مصغرا مصغرة
شخصيا شخصية
هيئا هيئة
لمراجعا لمراجعة
كلما كلمة
أخيرا أخيرة
ناجحا ناجحة
مبادرا مبادرة
برشا برشة
القديما القديمة
نهايا نهاية
لنتيجا لنتيجة
التقليديا التقليدية
للمعارضا للمعارضة
جبها جبهة
فكرا فكرة
متماسكا متماسكة
أغلبيا أغلبية
ساحقا ساحقة
شيرا شيرة
للرئاسا للرئاسة
مجموعا مجموعة
أنملا أنملة
ستا ستة
حادا حادة
ماشيا ماشية
صحيحا صحيحة
بحما بحمة
حما حمة
بينا بينة
بركا بركة
لمبادرا لمبادرة
للمبادرا للمبادرة
بالشويا بالشوية
ملائما ملائمة
بصراحا بصراحة
بادرا بادرة
نيا نية
رسميا رسمية
مساندا مساندة
للصناعا للصناعة
عودا عودة
امكانيا امكانية
لحكوما لحكومة
خمسمائا خمسمائة
الصلبا الصلبة
هاذوما هاذومة
بالنسبا بالنسبة
هالحكوما هالحكومة
دقيقا دقيقة
باهيا باهية
للحالا للحالة
ناحيا ناحية
غدوا غدوة
رئاسا رئاسة
الأمريكيا الأمريكية
محبوسا محبوسة
بالطريقا بالطريقة
علنيا علنية
الجماعيا الجماعية
بارشا بارشة
الخانقا الخانقة
مهمشا مهمشة
حملا حملة
سوسا سوسة
دولا دولة
عصريا عصرية
هالدولا هالدولة
حالا حالة
هالحملا هالحملة
ولايا ولاية
صراحا صراحة
سلميا سلمية
حساسيا حساسية
قاعدا قاعدة
للفترا للفترة
الانتقاليا الانتقالية
ألعوبا ألعوبة
بقعا بقعة
محجرا محجرة
ملحا ملحة
ضيقا ضيقة
الجزئيا الجزئية
نعما نعمة
مرا مرة
لجملا لجملة
داخلا داخلة
تونسيا تونسية
العقليا العقلية
وزرا وزرة
التشريعيا التشريعية
تأسيسيا تأسيسية
القضائيا القضائية
التنفيذيا التنفيذية
الديمقراطيا الديمقراطية
اربعا اربعة
خمسا خمسة
سبعا سبعة
ثمنيا ثمنية
تسعا تسعة
عشرا عشرة
الضحكا الضحكة
الغمزا الغمزة
مساا مساة
غربيا غربية
ندوا ندوة
صحفيا صحفية
قضيا قضية
إعادا إعادة
للجريما للجريمة
عسلاما عسلامة
بطبيعا بطبيعة
وزارا وزارة
أربعا أربعة
سنا سنة
بالمشاركا بالمشاركة
عمليا عملية
جاريا جارية
غالطا غالطة
مالندوا مالندوة
إنابا إنابة
فرقا فرقة
مقاوما مقاومة
بندوا بندوة
هاذيا هاذية
التاليا التالية
لعائلا لعائلة
ثقا ثقة
بسريا بسرية
ساعا ساعة
ثانيا ثانية
دايرا دايرة
بحاجا بحاجة
قانونيا قانونية
كهيئا كهيئة
الصحافا الصحافة
إفادا إفادة
كتابيا كتابية
سريا سرية
جلسا جلسة
لساعا لساعة
متأخرا متأخرة
مغيبا مغيبة
نقطا نقطة
للبقيا للبقية
شكليا شكلية
ماذبيا ماذبية
مهنيا مهنية
لمدا لمدة
معينا معينة
بالعمليا بالعملية
للمنطقا للمنطقة
بسيارا بسيارة
سيارا سيارة
هاذاكا هاذاكة
الخلويا الخلوية
خدما خدمة
هواا هواة
شبها شبهة
سهولا سهولة
منطقا منطقة
سرعا سرعة
داخليا داخلية
خارجيا خارجية
نشرا نشرة
قناا قناة
ساميا سامية
وفاا وفاة
لجلطا لجلطة
دماغيا دماغية
ثالثا ثالثة
العشيا العشية
متحزبا متحزبة
بحكوما بحكومة
إئتلافيا إئتلافية
بالسادا بالسادة
قائما قائمة
معلوما معلومة
بلاصا بلاصة
بالليستا بالليستة
حمايا حماية
إشارا إشارة
دعوا دعوة
بالجملا بالجملة
مغلقا مغلقة
شبكا شبكة
برئاسا برئاسة
إستقالا إستقالة
مدونا مدونة
مكتوبا مكتوبة
كتلا كتلة
مناقشا مناقشة
ممكنا ممكنة
محاصصا محاصصة
عركا عركة
لأمنيا لأمنية
معتمديا معتمدية
خطيرا خطيرة
للفرقا للفرقة
بمنطقا بمنطقة
لصحا لصحة
بمحاولا بمحاولة
وبرا وبرة
مالصحا مالصحة
فريدا فريدة
حادثا حادثة
للفلاحا للفلاحة
بسكتا بسكتة
قلبيا قلبية
ميا مية
أجنبيا أجنبية
الضاحيا الضاحية
الجنوبيا الجنوبية
العاصما العاصمة
قايما قايمة
بالتصفيا بالتصفية
وتيرا وتيرة
مقولا مقولة
لمحاولا لمحاولة
مسيرا مسيرة
شعبيا شعبية
الشرعيا الشرعية
الميا المية
كفاءا كفاءة
همزا همزة
ضرورا ضرورة
محايدا محايدة
بمبادرا بمبادرة
فاجعا فاجعة
قنبلا قنبلة
اعلاميا اعلامية
فاشلا فاشلة
مقربا مقربة
بعمليا بعملية
بالجها بالجهة
متواصلا متواصلة
وقفا وقفة
رمزيا رمزية
بيئا بيئة
سليما سليمة
وخيما وخيمة
بطبلبا بطبلبة
محاولا محاولة
البغداديا البغدادية
المحاذيا المحاذية
لمدينا لمدينة
المهديا المهدية
مصادرا مصادرة
امنيا امنية
التونسيا التونسية
حريا حرية
للعصابا للعصابة
الدستوريا الدستورية
لمحا لمحة
مطالبا مطالبة
للشرعيا للشرعية
بإرادا بإرادة
العمريا العمرية
بضرورا بضرورة
والعودا والعودة
لطاولا لطاولة
مالازما مالازمة
ديمقراطيا ديمقراطية
موزعا موزعة
مؤسسا مؤسسة
غايا غاية
مخصصا مخصصة
الاقمشا الاقمشة
بالمئا بالمئة
بميا بمية
حلوا حلوة
جايا جاية
الماركا الماركة
برجوليا برجولية
تاعبا تاعبة
للسنا للسنة
كالعادا كالعادة
مالعادا مالعادة
العاديا العادية
هكايا هكاية
لحكايا لحكاية
هذيكا هذيكة
مشكلا مشكلة
الاخيرا الاخيرة
تجربا تجربة
الليبيا الليبية
ثورا ثورة
للثورا للثورة
بالطاغيا بالطاغية
رؤيا رؤية
متحدا متحدة
قرابا قرابة
بمناسبا بمناسبة
لثورا لثورة
مالديكتاتوريا مالديكتاتورية
قبليا قبلية
بلبلا بلبلة
زيادا زيادة
طريقا طريقة
بطريقا بطريقة
فضيعا فضيعة
اخوا اخوة
لزيارا لزيارة
جريما جريمة
خسارا خسارة
لزوجا لزوجة
لمناهضا لمناهضة
لحظا لحظة
مهما مهمة
الفرنسيا الفرنسية
تاريخيا تاريخية
أرملا أرملة
إقالا إقالة
خلفيا خلفية
بمثابا بمثابة
معززا معززة
استقالا استقالة
للتشكيلا للتشكيلة
الحكوميا الحكومية
استجابا استجابة
مدا مدة
بعهدا بعهدة
معروفا معروفة
بالمعارضا بالمعارضة
المتكونا المتكونة
الراهنا الراهنة
هشاشا هشاشة
المرحلا المرحلة
كتابا كتابة
هذايا هذاية
المصلحيا المصلحية
رافضا رافضة
لدولا لدولة
مدنيا مدنية
سيادا سيادة
مالتوانسا مالتوانسة
جنازا جنازة
الجنازا الجنازة
متعددا متعددة
البرشا البرشة
مطلبيا مطلبية
الصنايعيا الصنايعية
نخبا نخبة
هالمسيرا هالمسيرة
حميدا حميدة
هذكا هذكة
هزا هزة
للغا للغة
طائفا طائفة
باينا باينة
زعما زعمة
مناسبا مناسبة
علاقا علاقة
بحادثا بحادثة
مضطربا مضطربة
مسلحا مسلحة
للدعوا للدعوة
لمقاوما لمقاومة
ليلا ليلة
للمنظما للمنظمة
منزلا منزلة
الصلاا الصلاة
القياما القيامة
شنيا شنية
السيرا السيرة
هكا هكة
مخيفا مخيفة
الجاهليا الجاهلية
القيما القيمة
حفرا حفرة
المدينا المدينة
هكاكا هكاكة
الملائكا الملائكة
غزوا غزوة
سورا سورة
كاملا كاملة
الاستخارا الاستخارة
الفاتحا الفاتحة
الركعا الركعة
للقبلا للقبلة
الطفلا الطفلة
هالبيعا هالبيعة
الشريا الشرية
رسالا رسالة
الآخرا الآخرة
تشريعيا تشريعية
والقضائيا والقضائية
هاويا هاوية
للساحا للساحة
الرياضيا الرياضية
اللازما اللازمة
حرا حرة
الساميا السامية
البعيدا البعيدة
المركزا المركزة
الاستراتيجيا الاستراتيجية
قلا قلة
كارثا كارثة
الانظما الانظمة
خاربا خاربة
الجذريا الجذرية
صعبا صعبة
الاساتذا الاساتذة
واقفا واقفة
جامدا جامدة
طالبا طالبة
بلديا بلدية
متخاصما متخاصمة
متنافرا متنافرة
انتقاليا انتقالية
مستقرا مستقرة
شرعيا شرعية
مصيبا مصيبة
معقدا معقدة
اصلاحيا اصلاحية
الضروريا الضرورية
نزيها نزيهة
اعجوبا اعجوبة
بسيطا بسيطة
بِالنِسبا بِالنِسبة
اجرا اجرة
ورقا ورقة
فوقانيا فوقانية
صفاقسيا صفاقسية
برانيا برانية
بِالنسبا بِالنسبة
لكافا لكافة
محاكما محاكمة
القناصا القناصة
الجزيرا الجزيرة
الفولانيا الفولانية
للقنطرا للقنطرة
غاديكا غاديكة
محطا محطة
معبيا معبية
لهاكا لهاكة
القشارا القشارة
الشكارا الشكارة
عالسلاما عالسلامة
مستمعا مستمعة
وفيا وفية
الزبلا الزبلة
الفرديا الفردية
الملاحضا الملاحضة
غفلا غفلة
روعا روعة
ثقافا ثقافة
مواطنا مواطنة
الخضرا الخضرة
الغلا الغلة
الغذائيا الغذائية
النفسيا النفسية
الطبيا الطبية
التربيا التربية
الثلاثيا الثلاثية
اساتذا اساتذة
المقبلا المقبلة
كريما كريمة
كرا كرة
جميلا جميلة
الكرا الكرة
مدينا مدينة
المحطا المحطة
نعيما نعيمة
منيرا منيرة
جدا جدة
سبورا سبورة
تلميذا تلميذة
غرفا غرفة
قهوا قهوة
صديقا صديقة
صورا صورة
عايشا عايشة
فاطما فاطمة
بنيا بنية
سيدا سيدة
سيارا سيارة
زينا زينة
مريضا مريضة
الغرفا الغرفة
بيضا بيضة
موسيقيا موسيقية
زينا زينة
طيارا طيارة
نجاا نجاة
فرنسيا فرنسية
العشيا العشية
متعددا متعددة
متنوعا متنوعة
نفسيا نفسية
فكرا فكرة
العزيما العزيمة
زادا زادة
بركا بركة
جماعا جماعة
جلطا جلطة
مسدودا مسدودة
توا توة
الهاتفيا الهاتفية
نوارا نوارة
مذابيا مذابية
الصدريا الصدرية
الجمعيا الجمعية
كليا كلية
عوينها عوينهة
سكرا سكرة
قرايا قراية
عزيما عزيمة
الجايا الجاية
الحقيقا الحقيقة
سنا سنة
قاعدا قاعدة
وصفا وصفة
القهوا القهوة
عاما عامة
الثنيا الثنية
برا برة
حاجا حاجة
الخلطا الخلطة
الزيادا الزيادة
المديرا المديرة
مديرا مديرة
وجيعا وجيعة
الرابطا الرابطة
المناسبا المناسبة
الريحا الريحة
ريحا ريحة
الغاليا الغالية
العاليا العالية
مريرا مريرة
الحياا الحياة
مضرا مضرة
تحيا تحية
التحيا التحية
الدكاترا الدكاترة
الافا الافة
غدوا غدوة
برشا برشة
كميا كمية
الخدما الخدمة
فترا فترة
الفترا الفترة
العزيزا العزيزة
جيدا جيدة
الغلطا الغلطة
كلما كلمة
الكلما الكلمة
قبيليكا قبيليكة
استقلاليا استقلالية
ماديا مادية
بحتا بحتة
عائليا عائلية
استعماريا استعمارية
الغابا الغابة
غفلا غفلة
الكبدا الكبدة
سهولا سهولة
تاما تامة
الوصفا الوصفة
السهولا السهولة
ميزانيا ميزانية
الميزانيا الميزانية
تجربا تجربة
مقتنعا مقتنعة
متقلقا متقلقة
معاناا معاناة
الهديا الهدية
هدايا هداية
مهولا مهولة
اهميا اهمية
ممسوسا ممسوسة
اكيدا اكيدة
عاديا عادية
اشكاليا اشكالية
لولانيا لولانية
شيشا شيشة
ساهلا ساهلة
بلاصا بلاصة
مردوما مردومة
نوويا نووية
مشعا مشعة
مادا مادة
ساما سامة
المحافظا المحافظة
مقرونا مقرونة
موجودا موجودة
صحيحا صحيحة
الزنزانا الزنزانة
الشيشا الشيشة
جلطا جلطة
غلطا غلطة
العبارا العبارة
عبارا عبارة
ساعا ساعة
ريا رية
السنا السنة
جملا جملة
حملا حملة
عمليا عملية
العمليا العملية
الاستهلاكيا الاستهلاكية
مادا مادة
منشطا منشطة
الشاهيا الشاهية
موضوعيا موضوعية
نفسانيا نفسانية
القبيلا القبيلة
معلوما معلومة
خاصا خاصة
المعالجا المعالجة
نوعيا نوعية
عميقا عميقة
دقا دقة
الارادا الارادة
خايبا خايبة
الاستمراريا الاستمرارية
طويلا طويلة
قصيرا قصيرة
صدفا صدفة
بصفا بصفة
نهائيا نهائية
حقيقا حقيقة
محاولا محاولة
طيبا طيبة
العصبيا العصبية
سلوكيا سلوكية
هديا هدية
مخطرا مخطرة
ضربا ضربة
الثقا الثقة
اللصقا اللصقة
الادويا الادوية
العجيبا العجيبة
غريبا غريبة
حربوشا حربوشة
معينا معينة
النتيجا النتيجة
الحسبا الحسبة
مضرا مضرة
مساعدا مساعدة
المساعدا المساعدة
ايجابيا ايجابية
عريضا عريضة
الندوا الندوة
قايما قايمة
الخالا الخالة
العما العمة
الشرطا الشرطة
الفكرا الفكرة
الرحلا الرحلة
القصا القصة
الوسيلا الوسيلة
وحدا وحدة
المداخلا المداخلة
مختلفا مختلفة
سياسا سياسة
واضحا واضحة
مفهوما مفهومة
للدولا للدولة
كاملا كاملة
دقيقا دقيقة
الليلا الليلة
النوعيا النوعية
مقابلا مقابلة
رياضيا رياضية
قعدا قعدة
علاقا علاقة
غاليا غالية
امكانيا امكانية
الرياضا الرياضة
التجربا التجربة
السحريا السحرية
الحالا الحالة
حالا حالة
ضعيفا ضعيفة
عويصا عويصة
المختصا المختصة
مكافحا مكافحة
التغذيا التغذية
الصحيا الصحية
الصحا الصحة
الضرورا الضرورة
مستعصيا مستعصية
مختصا مختصة
بعيدا بعيدة
قانونيا قانونية
الظاهرا الظاهرة
الثورا الثورة
الثروا الثروة
عبوديا عبودية
التكلفا التكلفة
النسبا النسبة
مباشرا مباشرة
حقيقيا حقيقية
منظوما منظومة
معاهدا معاهدة
عالميا عالمية
المهولا المهولة
المضرا المضرة
الخلاعا الخلاعة
لازما لازمة
مستحقا مستحقة
مربوطا مربوطة
قليبيا قليبية
التبحبيحا التبحبيحة
قريبا قريبة
السرقا السرقة
اللغا اللغة
الاكثريا الاكثرية
شايحا شايحة
قاعدا قاعدة
غلا غلة
للوتلا للوتلة
مسالا مسالة
طريحا طريحة
المرا المرة
نفقا نفقة
طفلا طفلة
المحكما المحكمة
جايبا جايبة
اشهرا اشهرة
زواليا زوالية
عاقلا عاقلة
باهيا باهية
الطفلا الطفلة
العشرا العشرة
حاضرا حاضرة
قويا قوية
مديدا مديدة
قضيا قضية
البنيا البنية
مشكلا مشكلة
مشبوها مشبوهة
بحذايا بحذاية
منزليا منزليهة
